      Pres    T90(1)    T90(2)    Sal(1)   Cond(1)    Sal(2)   Cond(2)   OxCur        OXYG     Trans      Flur Altimeter      Time       wocecode
    2841.5   1.41080   1.41480  34.89231  31.37416  34.89237  31.37769  1.749700     6.418   -0.9594    0.0120     21.17   3070.29  2222222111111
    2841.4   1.41100   1.41530  34.89219  31.37423  34.89201  31.37782  1.749700     6.417   -0.9594    0.0120     21.32   3070.33  2222222111111
    2841.4   1.41130   1.41560  34.89165  31.37405  34.89119  31.37741  1.749700     6.417   -0.9594    0.0120     21.34   3070.38  2222222111111
    2841.4   1.41100   1.41570  34.89144  31.37361  34.89197  31.37812  1.749700     6.417   -0.9594    0.0120     21.34   3070.42  2222222111111
    2841.4   1.41060   1.41570  34.89186  31.37360  34.89256  31.37859  1.749700     6.418   -0.9594    0.0119     21.34   3070.46  2222222111111
    2841.4   1.41060   1.41570  34.89218  31.37384  34.89235  31.37842  1.749700     6.418   -0.9594    0.0119     21.42   3070.50  2222222111111
    2841.4   1.41100   1.41550  34.89207  31.37410  34.89242  31.37830  1.749700     6.417   -0.9594    0.0119     21.49   3070.54  2222222111111
    2841.4   1.41130   1.41480  34.89284  31.37498  34.89330  31.37840  1.749700     6.417   -0.9594    0.0119     21.51   3070.58  2222222111111
    2841.4   1.41140   1.41440  34.89243  31.37474  34.89284  31.37768  1.749700     6.417   -0.9594    0.0118     21.51   3070.62  2222222111111
    2841.4   1.41140   1.41430  34.89197  31.37436  34.89207  31.37697  1.749700     6.417   -0.9594    0.0118     21.51   3070.67  2222222111111
    2841.4   1.41160   1.41430  34.89207  31.37462  34.89222  31.37709  1.749700     6.417   -0.9594    0.0117     21.59   3070.71  2222222111111
    2841.4   1.41190   1.41480  34.89268  31.37537  34.89155  31.37698  1.749700     6.417   -0.9594    0.0117     21.66   3070.75  2222222111111
    2841.4   1.41270   1.41510  34.89300  31.37632  34.89175  31.37740  1.749700     6.417   -0.9594    0.0116     21.66   3070.79  2222222111111
    2841.4   1.41310   1.41560  34.89265  31.37640  34.89210  31.37813  1.749700     6.417   -0.0000   -0.0000     21.66   3070.83  2222222114111
    2841.4   1.41370   1.41670  34.89295  31.37716  34.89153  31.37863  1.749700     6.417   -0.0000   -0.0000     21.66   3070.88  2222222114111
    2841.4   1.41410   1.41700  34.89329  31.37779  34.89172  31.37905  1.749700     6.417   -0.0000   -0.0000     21.66   3070.92  2222222114111
    2841.4   1.41460   1.41690  34.89230  31.37743  34.89240  31.37951  1.749700     6.417   -0.0000   -0.0000     21.66   3070.96  2222222114111
    2841.4   1.41350   1.41530  34.89183  31.37610  34.89458  31.37988  1.749700     6.417   -0.0000   -0.0000     21.66   3071.00  2222222114111
    2841.4   1.41290   1.41620  34.89175  31.37552  34.89166  31.37832  1.749700     6.417   -0.0000   -0.0000     21.66   3071.04  2222222114111
    2841.5   1.41190   1.41710  34.89179  31.37469  34.89086  31.37846  1.749700     6.417   -0.0000   -0.0000     21.66   3071.08  2222222114111
